0	                  1.490116e-09	                  0.000000e+00
10	                  1.430511e-07	                  1.942890e-16
20	                  1.430511e-07	                  4.163336e-16
30	                  8.106232e-07	                  1.249001e-15
40	                  1.525879e-06	                  1.193490e-15
50	                  2.479553e-06	                  2.414735e-15
60	                  3.433228e-06	                  6.022960e-15
70	                  4.386902e-06	                  9.631185e-15
80	                  5.340576e-06	                  1.323941e-14
90	                  1.525879e-06	                  1.684763e-14
100	                  2.288818e-06	                  2.045586e-14
110	                  6.103516e-06	                  2.406408e-14
120	                  9.918213e-06	                  2.767231e-14
130	                  1.373291e-05	                  3.128053e-14
140	                  1.754761e-05	                  3.488876e-14
150	                  2.136230e-05	                  3.849698e-14
160	                  2.517700e-05	                  4.210521e-14
170	                  2.899170e-05	                  2.794986e-14
180	                  3.280640e-05	                  1.379452e-14
190	                  3.662109e-05	                  3.608225e-16
200	                  4.043579e-05	                  1.451617e-14
210	                  4.425049e-05	                  2.867151e-14
220	                  4.806519e-05	                  4.282685e-14
230	                  5.187988e-05	                  5.698220e-14
240	                  5.569458e-05	                  7.113754e-14
250	                  5.950928e-05	                  8.529288e-14
260	                  6.332397e-05	                  9.944823e-14
270	                  6.713867e-05	                  1.136036e-13
280	                  7.095337e-05	                  1.277589e-13
290	                  7.476807e-05	                  1.419143e-13
300	                  7.858276e-05	                  1.560696e-13
310	                  8.239746e-05	                  1.702249e-13
320	                  8.239746e-05	                  1.843803e-13
330	                  6.713867e-05	                  1.985356e-13
340	                  5.187988e-05	                  2.126910e-13
350	                  3.662109e-05	                  2.268463e-13
360	                  2.136230e-05	                  2.410017e-13
370	                  6.103516e-06	                  2.551570e-13
380	                  9.155273e-06	                  2.693124e-13
390	                  2.441406e-05	                  2.834677e-13
400	                  3.967285e-05	                  2.976230e-13
410	                  5.493164e-05	                  3.117784e-13
420	                  7.019043e-05	                  3.259337e-13
430	                  8.544922e-05	                  3.400891e-13
440	                  1.007080e-04	                  3.542444e-13
450	                  1.159668e-04	                  3.683998e-13
460	                  1.312256e-04	                  3.825551e-13
470	                  1.464844e-04	                  3.967104e-13
480	                  1.617432e-04	                  4.108658e-13
490	                  1.770020e-04	                  4.250211e-13
500	                  1.922607e-04	                  4.391765e-13
510	                  2.075195e-04	                  4.533318e-13
520	                  2.227783e-04	                  4.674872e-13
530	                  2.380371e-04	                  4.816425e-13
540	                  2.532959e-04	                  4.957978e-13
550	                  2.685547e-04	                  5.099532e-13
560	                  2.838135e-04	                  5.241085e-13
570	                  2.990723e-04	                  5.382639e-13
580	                  3.143311e-04	                  5.524192e-13
590	                  3.295898e-04	                  5.665746e-13
600	                  3.448486e-04	                  5.807299e-13
610	                  3.601074e-04	                  5.948853e-13
620	                  3.753662e-04	                  6.090406e-13
630	                  3.906250e-04	                  6.231959e-13
640	                  4.058838e-04	                  6.302459e-13
