10	1.490116119383410372284393119457e-09	5.549759870410175821575649024453e-18
20	7.450580596917051861421965597287e-10	2.774879935205087910787824512227e-18
30	1.738468805947312100998458639367e-09	4.641740550953565858094407303724e-19
40	3.725290298458525930710982798644e-10	1.387439967602543955393912256113e-18
50	4.470348358150231116853179358372e-10	4.167402100491157668216146703344e-19
60	8.692344029736560504992293196835e-10	2.320870275476782929047203651862e-19
70	7.982764925244068910173411701692e-11	4.463863632030162786890059578582e-19
80	1.862645149229262965355491399322e-10	6.937199838012719776969561280566e-19
90	2.690487437781248947384071801281e-10	4.243635065744044698732295728405e-19
100	2.235174179075115558426589679186e-10	2.083701050245578834108073351672e-19
110	2.878633412445224582822123071679e-10	4.413041655194904766545960228541e-19
120	4.346172014868280252496146598418e-10	1.160435137738391464523601825931e-19
130	7.164019804630199911299470727499e-12	4.269046054161673708904345403425e-19
140	3.991382462622034455086705850846e-11	2.231931816015081393445029789291e-19
150	1.614292462665361236641425879412e-10	4.277516383634216712295028628432e-19
160	9.313225746146314826777456996609e-11	3.468599919006359888484780640283e-19
170	1.150457298053368302131332923111e-10	8.173867941003998272009312131559e-20
180	1.345243718890624473692035900640e-10	2.121817532872022349366147864203e-19
190	2.254780970122754763657058063586e-10	1.185846126156020474695651500951e-19
200	1.117587089537557779213294839593e-10	1.041850525122789417054036675836e-19
210	1.818296455200599823047447056723e-10	4.294457042579302719076395078446e-19
220	1.439316706222612291411061535840e-10	2.206520827597452383272980114270e-19
230	1.984122006788061433942699229860e-10	5.293955920339377119177015629248e-20
240	2.173086007434140126248073299209e-10	5.802175688691957322618009129656e-20
250	1.899898052217236356451618428665e-10	8.343274530454858339822976631694e-20
260	3.582009902315099955649735363750e-12	2.134523027080836854452172701713e-19
270	6.553751451008321259484451504207e-11	1.412427439546545815396427769883e-19
280	1.995691231311017227543352925423e-11	1.115965908007540696722514894645e-19
290	1.284582861538883136361122172531e-11	4.785736151986796915736022128840e-20
300	8.071462313326806183207129397061e-11	2.138758191817108356147514314216e-19
310	4.957039510045619181994452917550e-11	2.752857078576476101972048127209e-21
320	4.656612873073157413388728498305e-11	1.734299959503179944242390320142e-19
330	9.595444708150748609407076905597e-11	2.541098841762901017204967502039e-21
340	5.752286490266841510656664615553e-11	4.086933970501999136004656065779e-20
350	3.060059888028578796090317659662e-11	2.541098841762901017204967502039e-21
360	6.726218594453122368460179503202e-11	1.060908766436011174683073932101e-19
370	6.544428902692831862344946536325e-11	1.499248316640111600150930826203e-19
380	1.127390485061377381828529031793e-10	5.929230630780102373478257504757e-20
390	7.999822115276269019357863188091e-11	2.329340604949325932437886876869e-21
400	5.587935447687788896066474197966e-11	5.209252625613947085270183379180e-20
410	2.271518474669832884579867560149e-12	2.117582368135750847670806251699e-21
420	9.091482276002999115237235283615e-11	2.147228521289651359538197539223e-19
430	8.663465810289871192606536709491e-12	3.218725199566341288459625502583e-20
440	7.196583531113061457055307679198e-11	1.103260413798726191636490057135e-19
450	5.380974875558262730031872100867e-11	1.905824131322175762903725626529e-21
460	9.920610033940307169713496149299e-11	2.646977960169688559588507814624e-20
470	6.737227135507396790815859421997e-11	3.515186731105346407133538377821e-20
480	1.086543003717070063124036649604e-10	2.901087844345978661309004564828e-20
490	8.838061167276856512197563686684e-11	1.840179077909967486625930632727e-19
500	9.499490261086181782258092143323e-11	4.171637265227429169911488315847e-20
