0.1000000000	1.1100000000	1.1103418362	0.0003418362
0.2000000000	1.2420500000	1.2428055163	0.0007555163
0.3000000000	1.3984652500	1.3997176152	0.0012523652
0.4000000000	1.5818041013	1.5836493953	0.0018452940
0.5000000000	1.7948935319	1.7974425414	0.0025490095
0.6000000000	2.0408573527	2.0442376008	0.0033802481
0.7000000000	2.3231473748	2.3275054149	0.0043580402
0.8000000000	2.6455778491	2.6510818570	0.0055040079
0.9000000000	3.0123635233	3.0192062223	0.0068426990
1.0000000000	3.4281616932	3.4365636569	0.0084019637
