0.1000000000	1.1000000000	1.1103418362	0.0103418362
0.2000000000	1.2200000000	1.2428055163	0.0228055163
0.3000000000	1.3620000000	1.3997176152	0.0377176152
0.4000000000	1.5282000000	1.5836493953	0.0554493953
0.5000000000	1.7210200000	1.7974425414	0.0764225414
0.6000000000	1.9431220000	2.0442376008	0.1011156008
0.7000000000	2.1974342000	2.3275054149	0.1300712149
0.8000000000	2.4871776200	2.6510818570	0.1639042370
0.9000000000	2.8158953820	3.0192062223	0.2033108403
1.0000000000	3.1874849202	3.4365636569	0.2490787367
