0	0.0000000000
1	0.0000000000
2	0.0000000000
3	0.0000000000
4	0.0000000000
5	0.0000000000
6	0.0000000000
7	0.0000000000
8	0.0000000000
9	0.0000000000
10	0.0000000000
11	0.0000000000
12	0.0000000000
13	0.0000000000
14	0.0000000000
15	0.0000000000
16	0.0000000000
17	0.0000000000
18	0.0000000000
19	0.0000000000
20	0.0000000000
21	0.0000000000
22	0.0000000000
23	0.0000000000
24	0.0000000001
25	0.0000000001
26	0.0000000002
27	0.0000000002
28	0.0000000004
29	0.0000000005
30	0.0000000008
31	0.0000000011
32	0.0000000016
33	0.0000000023
34	0.0000000031
35	0.0000000043
36	0.0000000059
37	0.0000000080
38	0.0000000107
39	0.0000000141
40	0.0000000185
41	0.0000000241
42	0.0000000311
43	0.0000000398
44	0.0000000506
45	0.0000000638
46	0.0000000800
47	0.0000000996
48	0.0000001232
49	0.0000001515
50	0.0000001853
51	0.0000002254
52	0.0000002727
53	0.0000003283
54	0.0000003932
55	0.0000004688
56	0.0000005564
57	0.0000006574
58	0.0000007736
59	0.0000009066
60	0.0000010583
61	0.0000012307
62	0.0000014260
63	0.0000016465
64	0.0000018947
65	0.0000021731
66	0.0000024845
67	0.0000028319
68	0.0000032182
69	0.0000036468
70	0.0000041209
71	0.0000046441
72	0.0000052202
73	0.0000058528
74	0.0000065461
75	0.0000073040
76	0.0000081310
77	0.0000090314
78	0.0000100097
79	0.0000110706
80	0.0000122189
81	0.0000134595
82	0.0000147974
83	0.0000162379
84	0.0000177860
85	0.0000194472
86	0.0000212269
87	0.0000231306
88	0.0000251638
89	0.0000273323
90	0.0000296417
91	0.0000320979
92	0.0000347066
93	0.0000374736
94	0.0000404050
95	0.0000435065
96	0.0000467842
97	0.0000502440
98	0.0000538919
99	0.0000577338
100	0.0000617757
101	0.0000660235
102	0.0000704832
103	0.0000751606
104	0.0000800618
105	0.0000851925
106	0.0000905586
107	0.0000961659
108	0.0001020202
109	0.0001081271
110	0.0001144925
111	0.0001211220
112	0.0001280213
113	0.0001351959
114	0.0001426514
115	0.0001503934
116	0.0001584276
117	0.0001667594
118	0.0001753943
119	0.0001843380
120	0.0001935960
121	0.0002031739
122	0.0002130775
123	0.0002233123
124	0.0002338843
125	0.0002447992
126	0.0002560630
127	0.0002676820
128	0.0002796623
129	0.0002920103
130	0.0003047328
131	0.0003178365
132	0.0003313286
133	0.0003452165
134	0.0003595077
135	0.0003742104
136	0.0003893328
137	0.0004048839
138	0.0004208727
139	0.0004373090
140	0.0004542031
141	0.0004715655
142	0.0004894077
143	0.0005077416
144	0.0005265799
145	0.0005459358
146	0.0005658236
147	0.0005862580
148	0.0006072548
149	0.0006288308
150	0.0006510034
151	0.0006737912
152	0.0006972139
153	0.0007212922
154	0.0007460478
155	0.0007715039
156	0.0007976847
157	0.0008246158
158	0.0008523241
159	0.0008808378
160	0.0009101868
161	0.0009404022
162	0.0009715169
163	0.0010035652
164	0.0010365831
165	0.0010706085
166	0.0011056807
167	0.0011418411
168	0.0011791327
169	0.0012176007
170	0.0012572920
171	0.0012982555
172	0.0013405423
173	0.0013842055
174	0.0014293002
175	0.0014758839
176	0.0015240162
177	0.0015737589
178	0.0016251762
179	0.0016783346
180	0.0017333029
181	0.0017901524
182	0.0018489569
183	0.0019097926
184	0.0019727381
185	0.0020378747
186	0.0021052862
187	0.0021750591
188	0.0022472823
189	0.0023220477
190	0.0023994494
191	0.0024795847
192	0.0025625532
193	0.0026484575
194	0.0027374028
195	0.0028294971
196	0.0029248511
197	0.0030235785
198	0.0031257955
199	0.0032316214
200	0.0033411780
201	0.0034545901
202	0.0035719853
203	0.0036934940
204	0.0038192493
205	0.0039493872
206	0.0040840467
207	0.0042233691
208	0.0043674989
209	0.0045165833
210	0.0046707722
211	0.0048302182
212	0.0049950767
213	0.0051655059
214	0.0053416665
215	0.0055237221
216	0.0057118388
217	0.0059061854
218	0.0061069333
219	0.0063142566
220	0.0065283317
221	0.0067493377
222	0.0069774563
223	0.0072128716
224	0.0074557699
225	0.0077063401
226	0.0079647737
227	0.0082312641
228	0.0085060073
229	0.0087892013
230	0.0090810467
231	0.0093817459
232	0.0096915037
233	0.0100105268
234	0.0103390240
235	0.0106772062
236	0.0110252863
237	0.0113834788
238	0.0117520005
239	0.0121310698
240	0.0125209068
241	0.0129217334
242	0.0133337733
243	0.0137572517
244	0.0141923954
245	0.0146394327
246	0.0150985934
247	0.0155701088
248	0.0160542115
249	0.0165511354
250	0.0170611156
251	0.0175843887
252	0.0181211921
253	0.0186717645
254	0.0192363457
255	0.0198151765
256	0.0204084984
257	0.0210165540
258	0.0216395869
259	0.0222778411
260	0.0229315616
261	0.0236009940
262	0.0242863845
263	0.0249879799
264	0.0257060275
265	0.0264407751
266	0.0271924709
267	0.0279613635
268	0.0287477015
269	0.0295517342
270	0.0303737107
271	0.0312138806
272	0.0320724934
273	0.0329497985
274	0.0338460456
275	0.0347614841
276	0.0356963634
277	0.0366509327
278	0.0376254409
279	0.0386201369
280	0.0396352690
281	0.0406710854
282	0.0417278335
283	0.0428057607
284	0.0439051137
285	0.0450261385
286	0.0461690808
287	0.0473341854
288	0.0485216966
289	0.0497318578
290	0.0509649119
291	0.0522211007
292	0.0535006652
293	0.0548038456
294	0.0561308811
295	0.0574820100
296	0.0588574695
297	0.0602574956
298	0.0616823235
299	0.0631321871
300	0.0646073190
301	0.0661079508
302	0.0676343128
303	0.0691866340
304	0.0707651420
305	0.0723700631
306	0.0740016223
307	0.0756600430
308	0.0773455474
309	0.0790583560
310	0.0807986879
311	0.0825667605
312	0.0843627899
313	0.0861869903
314	0.0880395746
315	0.0899207536
316	0.0918307369
317	0.0937697320
318	0.0957379449
319	0.0977355798
320	0.0997628390
321	0.1018199232
322	0.1039070309
323	0.1060243593
324	0.1081721032
325	0.1103504557
326	0.1125596082
327	0.1147997498
328	0.1170710680
329	0.1193737480
330	0.1217079731
331	0.1240739249
332	0.1264717825
333	0.1289017234
334	0.1313639226
335	0.1338585536
336	0.1363857872
337	0.1389457925
338	0.1415387365
339	0.1441647839
340	0.1468240973
341	0.1495168373
342	0.1522431622
343	0.1550032283
344	0.1577971894
345	0.1606251976
346	0.1634874024
347	0.1663839512
348	0.1693149895
349	0.1722806602
350	0.1752811041
351	0.1783164598
352	0.1813868639
353	0.1844924503
354	0.1876333511
355	0.1908096959
356	0.1940216122
357	0.1972692251
358	0.2005526577
359	0.2038720306
360	0.2072274623
361	0.2106190690
362	0.2140469647
363	0.2175112610
364	0.2210120674
365	0.2245494912
366	0.2281236373
367	0.2317346083
368	0.2353825048
369	0.2390674249
370	0.2427894648
371	0.2465487180
372	0.2503452761
373	0.2541792285
374	0.2580506620
375	0.2619596617
376	0.2659063100
377	0.2698906875
378	0.2739128722
379	0.2779729402
380	0.2820709654
381	0.2862070192
382	0.2903811712
383	0.2945934886
384	0.2988440364
385	0.3031328777
386	0.3074600732
387	0.3118256815
388	0.3162297592
389	0.3206723605
390	0.3251535378
391	0.3296733411
392	0.3342318186
393	0.3388290162
394	0.3434649776
395	0.3481397448
396	0.3528533574
397	0.3576058532
