-5.00000000	0.00000149	0.00000149	0.00000149
-4.90000000	0.00000244	-0.00001297	0.14207302
-4.80000000	0.00000396	-0.00002576	0.20900015
-4.70000000	0.00000637	-0.00003518	0.22552041
-4.60000000	0.00001014	-0.00003957	0.21040234
-4.50000000	0.00001598	-0.00003725	0.17754100
-4.40000000	0.00002494	-0.00002653	0.13690112
-4.30000000	0.00003854	-0.00000575	0.09532352
-4.20000000	0.00005894	0.00002679	0.05720929
-4.10000000	0.00008926	0.00007276	0.02509539
-4.00000000	0.00013383	0.00013383	0.00013383
-3.90000000	0.00019866	0.00021418	-0.01751376
-3.80000000	0.00029195	0.00032791	-0.02835600
-3.70000000	0.00042478	0.00049163	-0.03331621
-3.60000000	0.00061190	0.00072194	-0.03353268
-3.50000000	0.00087268	0.00103544	-0.03020693
-3.40000000	0.00123222	0.00144873	-0.02449244
-3.30000000	0.00172257	0.00197841	-0.01741760
-3.20000000	0.00238409	0.00264109	-0.00983681
-3.10000000	0.00326682	0.00345337	-0.00240461
-3.00000000	0.00443185	0.00443185	0.00443185
-2.90000000	0.00595253	0.00562010	0.01042612
-2.80000000	0.00791545	0.00716965	0.01551510
-2.70000000	0.01042093	0.00925897	0.01979418
-2.60000000	0.01358297	0.01206655	0.02348745
-2.50000000	0.01752830	0.01577089	0.02691539
-2.40000000	0.02239453	0.02055047	0.03046185
-2.30000000	0.02832704	0.02658378	0.03454184
-2.20000000	0.03547459	0.03404931	0.03957147
-2.10000000	0.04398360	0.04312554	0.04594087
-2.00000000	0.05399097	0.05399097	0.05399097
-1.90000000	0.06561581	0.06676573	0.06399434
-1.80000000	0.07895016	0.08133658	0.07614071
-1.70000000	0.09404908	0.09753192	0.09052696
-1.60000000	0.11092083	0.11518014	0.10715169
-1.50000000	0.12951760	0.13410966	0.12591411
-1.40000000	0.14972747	0.15414888	0.14661705
-1.30000000	0.17136859	0.17512619	0.16897349
-1.20000000	0.19418605	0.19687000	0.19261643
-1.10000000	0.21785218	0.21920871	0.21711132
-1.00000000	0.24197072	0.24197072	0.24197072
-0.90000000	0.26608525	0.26492827	0.26667043
-0.80000000	0.28969155	0.28762885	0.29066664
-0.70000000	0.31225393	0.30956379	0.31341347
-0.60000000	0.33322460	0.33022443	0.33438040
-0.50000000	0.35206533	0.34910209	0.35306892
-0.40000000	0.36827014	0.36568810	0.36902814
-0.30000000	0.38138782	0.37947380	0.38186868
-0.20000000	0.39104269	0.38995051	0.39127467
-0.10000000	0.39695255	0.39660956	0.39701338
0.00000000	0.39894228	0.39894228	0.39894228
0.10000000	0.39695255	0.39660956	0.39701338
0.20000000	0.39104269	0.38995051	0.39127467
0.30000000	0.38138782	0.37947380	0.38186868
0.40000000	0.36827014	0.36568810	0.36902814
0.50000000	0.35206533	0.34910209	0.35306892
0.60000000	0.33322460	0.33022443	0.33438040
0.70000000	0.31225393	0.30956379	0.31341347
0.80000000	0.28969155	0.28762885	0.29066664
0.90000000	0.26608525	0.26492827	0.26667043
1.00000000	0.24197072	0.24197072	0.24197072
1.10000000	0.21785218	0.21920871	0.21711132
1.20000000	0.19418605	0.19687000	0.19261643
1.30000000	0.17136859	0.17512619	0.16897349
1.40000000	0.14972747	0.15414888	0.14661705
1.50000000	0.12951760	0.13410966	0.12591411
1.60000000	0.11092083	0.11518014	0.10715169
1.70000000	0.09404908	0.09753192	0.09052696
1.80000000	0.07895016	0.08133658	0.07614071
1.90000000	0.06561581	0.06676573	0.06399434
2.00000000	0.05399097	0.05399097	0.05399097
2.10000000	0.04398360	0.04312554	0.04594087
2.20000000	0.03547459	0.03404931	0.03957147
2.30000000	0.02832704	0.02658378	0.03454184
2.40000000	0.02239453	0.02055047	0.03046185
2.50000000	0.01752830	0.01577089	0.02691539
2.60000000	0.01358297	0.01206655	0.02348745
2.70000000	0.01042093	0.00925897	0.01979418
2.80000000	0.00791545	0.00716965	0.01551510
2.90000000	0.00595253	0.00562010	0.01042612
3.00000000	0.00443185	0.00443185	0.00443185
3.10000000	0.00326682	0.00345337	-0.00240461
3.20000000	0.00238409	0.00264109	-0.00983681
3.30000000	0.00172257	0.00197841	-0.01741760
3.40000000	0.00123222	0.00144873	-0.02449244
3.50000000	0.00087268	0.00103544	-0.03020693
3.60000000	0.00061190	0.00072194	-0.03353268
3.70000000	0.00042478	0.00049163	-0.03331621
3.80000000	0.00029195	0.00032791	-0.02835600
3.90000000	0.00019866	0.00021418	-0.01751376
4.00000000	0.00013383	0.00013383	0.00013383
4.10000000	0.00008926	0.00007276	0.02509539
4.20000000	0.00005894	0.00002679	0.05720929
4.30000000	0.00003854	-0.00000575	0.09532352
4.40000000	0.00002494	-0.00002653	0.13690112
4.50000000	0.00001598	-0.00003725	0.17754100
4.60000000	0.00001014	-0.00003957	0.21040234
4.70000000	0.00000637	-0.00003518	0.22552041
4.80000000	0.00000396	-0.00002576	0.20900015
4.90000000	0.00000244	-0.00001297	0.14207302
5.00000000	0.00000149	0.00000149	0.00000149
